Table 1:  Labour Force Survey Summary:  People by economic activity for those aged 16 and over and those aged from 16 to 64 (seasonally adjusted),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Jun-Aug 1971,40605000,25576000,24508000,1068000,15029000,63,60.4,4.2,37,33586000,25180000,24125000,1055000,8406000,75,71.8,4.2,25
Jul-Sep 1971,40618000,25539000,24464000,1076000,15079000,62.9,60.2,4.2,37.1,33589000,25148000,24085000,1063000,8440000,74.9,71.7,4.2,25.1
Aug-Oct 1971,40631000,25515000,24424000,1090000,15117000,62.8,60.1,4.3,37.2,33591000,25124000,24046000,1077000,8467000,74.8,71.6,4.3,25.2
Sep-Nov 1971,40645000,25511000,24398000,1113000,15134000,62.8,60,4.4,37.2,33594000,25115000,24015000,1100000,8479000,74.8,71.5,4.4,25.2
Oct-Dec 1971,40658000,25528000,24395000,1133000,15130000,62.8,60,4.4,37.2,33596000,25137000,24017000,1120000,8459000,74.8,71.5,4.5,25.2
Nov-Jan 1972,40671000,25560000,24416000,1143000,15111000,62.8,60,4.5,37.2,33598000,25163000,24032000,1130000,8436000,74.9,71.5,4.5,25.1
Dec-Feb 1972,40684000,25605000,24455000,1149000,15079000,62.9,60.1,4.5,37.1,33601000,25207000,24071000,1136000,8394000,75,71.6,4.5,25
Jan-Mar 1972,40697000,25656000,24501000,1155000,15041000,63,60.2,4.5,37,33603000,25257000,24115000,1142000,8346000,75.2,71.8,4.5,24.8
Feb-Apr 1972,40710000,25690000,24529000,1161000,15020000,63.1,60.3,4.5,36.9,33606000,25296000,24148000,1148000,8310000,75.3,71.9,4.5,24.7
Mar-May 1972,40723000,25694000,24539000,1155000,15029000,63.1,60.3,4.5,36.9,33608000,25300000,24158000,1142000,8309000,75.3,71.9,4.5,24.7
Apr-Jun 1972,40736000,25682000,24542000,1140000,15055000,63,60.2,4.4,37,33611000,25281000,24155000,1126000,8329000,75.2,71.9,4.5,24.8
May-Jul 1972,40750000,25663000,24541000,1122000,15087000,63,60.2,4.4,37,33613000,25262000,24154000,1108000,8352000,75.2,71.9,4.4,24.8
Jun-Aug 1972,40763000,25664000,24557000,1107000,15099000,63,60.2,4.3,37,33616000,25259000,24164000,1094000,8357000,75.1,71.9,4.3,24.9
Jul-Sep 1972,40777000,25685000,24585000,1100000,15092000,63,60.3,4.3,37,33620000,25279000,24192000,1087000,8341000,75.2,72,4.3,24.8
Aug-Oct 1972,40792000,25706000,24614000,1092000,15086000,63,60.3,4.2,37,33624000,25299000,24220000,1079000,8325000,75.2,72,4.3,24.8
Sep-Nov 1972,40807000,25728000,24643000,1085000,15079000,63,60.4,4.2,37,33628000,25325000,24253000,1072000,8303000,75.3,72.1,4.2,24.7
Oct-Dec 1972,40821000,25758000,24689000,1070000,15063000,63.1,60.5,4.2,36.9,33632000,25344000,24288000,1056000,8288000,75.4,72.2,4.2,24.6
Nov-Jan 1973,40836000,25796000,24748000,1049000,15040000,63.2,60.6,4.1,36.8,33636000,25381000,24346000,1035000,8255000,75.5,72.4,4.1,24.5
Dec-Feb 1973,40851000,25848000,24825000,1024000,15002000,63.3,60.8,4,36.7,33640000,25422000,24412000,1010000,8218000,75.6,72.6,4,24.4
Jan-Mar 1973,40865000,25904000,24903000,1002000,14961000,63.4,60.9,3.9,36.6,33644000,25477000,24488000,989000,8167000,75.7,72.8,3.9,24.3
Feb-Apr 1973,40880000,25949000,24962000,987000,14931000,63.5,61.1,3.8,36.5,33648000,25515000,24541000,974000,8133000,75.8,72.9,3.8,24.2
Mar-May 1973,40895000,25963000,24986000,977000,14932000,63.5,61.1,3.8,36.5,33652000,25528000,24565000,964000,8123000,75.9,73,3.8,24.1
Apr-Jun 1973,40909000,25954000,24986000,968000,14955000,63.4,61.1,3.7,36.6,33656000,25520000,24564000,955000,8136000,75.8,73,3.7,24.2
May-Jul 1973,40924000,25932000,24975000,957000,14992000,63.4,61,3.7,36.6,33659000,25497000,24552000,944000,8163000,75.7,72.9,3.7,24.3
Jun-Aug 1973,40939000,25908000,24965000,943000,15030000,63.3,61,3.6,36.7,33663000,25478000,24548000,931000,8185000,75.7,72.9,3.7,24.3
Jul-Sep 1973,40952000,25899000,24972000,927000,15053000,63.2,61,3.6,36.8,33666000,25468000,24554000,914000,8198000,75.6,72.9,3.6,24.4
Aug-Oct 1973,40965000,25898000,24984000,913000,15067000,63.2,61,3.5,36.8,33668000,25461000,24561000,900000,8207000,75.6,72.9,3.5,24.4
Sep-Nov 1973,40978000,25898000,24997000,901000,15080000,63.2,61,3.5,36.8,33670000,25461000,24573000,888000,8209000,75.6,73,3.5,24.4
Oct-Dec 1973,40991000,25887000,24999000,888000,15104000,63.2,61,3.4,36.8,33673000,25455000,24580000,875000,8218000,75.6,73,3.4,24.4
Nov-Jan 1974,41004000,25891000,25000000,892000,15113000,63.1,61,3.4,36.9,33675000,25453000,24575000,879000,8222000,75.6,73,3.5,24.4
Dec-Feb 1974,41018000,25899000,24995000,904000,15119000,63.1,60.9,3.5,36.9,33677000,25460000,24569000,891000,8217000,75.6,73,3.5,24.4
Jan-Mar 1974,41031000,25908000,24984000,923000,15123000,63.1,60.9,3.6,36.9,33680000,25474000,24563000,910000,8206000,75.6,72.9,3.6,24.4
Feb-Apr 1974,41044000,25916000,24984000,931000,15128000,63.1,60.9,3.6,36.9,33682000,25481000,24563000,918000,8201000,75.7,72.9,3.6,24.3
Mar-May 1974,41057000,25919000,24985000,933000,15138000,63.1,60.9,3.6,36.9,33684000,25484000,24564000,920000,8200000,75.7,72.9,3.6,24.3
Apr-Jun 1974,41070000,25940000,25002000,937000,15131000,63.2,60.9,3.6,36.8,33686000,25499000,24575000,924000,8187000,75.7,73,3.6,24.3
May-Jul 1974,41083000,25961000,25020000,941000,15122000,63.2,60.9,3.6,36.8,33689000,25520000,24592000,928000,8169000,75.8,73,3.6,24.2
Jun-Aug 1974,41096000,25995000,25044000,951000,15102000,63.3,60.9,3.7,36.7,33691000,25557000,24620000,938000,8134000,75.9,73.1,3.7,24.1
Jul-Sep 1974,41112000,26024000,25066000,958000,15088000,63.3,61,3.7,36.7,33696000,25581000,24636000,944000,8115000,75.9,73.1,3.7,24.1
Aug-Oct 1974,41127000,26042000,25077000,965000,15085000,63.3,61,3.7,36.7,33702000,25599000,24647000,952000,8102000,76,73.1,3.7,24
Sep-Nov 1974,41142000,26044000,25075000,969000,15098000,63.3,60.9,3.7,36.7,33707000,25600000,24644000,956000,8106000,76,73.1,3.7,24
Oct-Dec 1974,41158000,26041000,25065000,976000,15117000,63.3,60.9,3.7,36.7,33712000,25597000,24635000,963000,8115000,75.9,73.1,3.8,24.1
Nov-Jan 1975,41173000,26033000,25044000,989000,15140000,63.2,60.8,3.8,36.8,33717000,25589000,24613000,976000,8128000,75.9,73,3.8,24.1
Dec-Feb 1975,41189000,26025000,25018000,1007000,15164000,63.2,60.7,3.9,36.8,33723000,25586000,24592000,993000,8137000,75.9,72.9,3.9,24.1
Jan-Mar 1975,41204000,26025000,24996000,1029000,15179000,63.2,60.7,4,36.8,33728000,25592000,24576000,1016000,8136000,75.9,72.9,4,24.1
Feb-Apr 1975,41219000,26036000,24980000,1055000,15184000,63.2,60.6,4.1,36.8,33733000,25597000,24555000,1042000,8137000,75.9,72.8,4.1,24.1
Mar-May 1975,41235000,26054000,24965000,1089000,15180000,63.2,60.5,4.2,36.8,33739000,25621000,24544000,1076000,8118000,75.9,72.7,4.2,24.1
Apr-Jun 1975,41250000,26081000,24955000,1126000,15169000,63.2,60.5,4.3,36.8,33744000,25647000,24534000,1112000,8097000,76,72.7,4.3,24
May-Jul 1975,41265000,26107000,24945000,1162000,15158000,63.3,60.4,4.5,36.7,33749000,25673000,24524000,1149000,8077000,76.1,72.7,4.5,23.9
Jun-Aug 1975,41281000,26127000,24934000,1193000,15154000,63.3,60.4,4.6,36.7,33753000,25692000,24513000,1179000,8061000,76.1,72.6,4.6,23.9
Jul-Sep 1975,41300000,26139000,24918000,1221000,15161000,63.3,60.3,4.7,36.7,33764000,25704000,24496000,1207000,8060000,76.1,72.6,4.7,23.9
Aug-Oct 1975,41319000,26149000,24897000,1252000,15170000,63.3,60.3,4.8,36.7,33774000,25723000,24484000,1239000,8051000,76.2,72.5,4.8,23.8
Sep-Nov 1975,41338000,26167000,24880000,1286000,15172000,63.3,60.2,4.9,36.7,33785000,25735000,24463000,1273000,8050000,76.2,72.4,4.9,23.8
Oct-Dec 1975,41358000,26183000,24864000,1319000,15175000,63.3,60.1,5,36.7,33796000,25751000,24446000,1305000,8044000,76.2,72.3,5.1,23.8
Nov-Jan 1976,41377000,26190000,24847000,1343000,15187000,63.3,60.1,5.1,36.7,33806000,25758000,24429000,1329000,8049000,76.2,72.3,5.2,23.8
Dec-Feb 1976,41396000,26188000,24825000,1363000,15208000,63.3,60,5.2,36.7,33817000,25760000,24412000,1349000,8057000,76.2,72.2,5.2,23.8
Jan-Mar 1976,41415000,26187000,24809000,1379000,15228000,63.2,59.9,5.3,36.8,33828000,25759000,24395000,1365000,8068000,76.1,72.1,5.3,23.9
Feb-Apr 1976,41435000,26185000,24793000,1392000,15250000,63.2,59.8,5.3,36.8,33838000,25756000,24378000,1378000,8083000,76.1,72,5.3,23.9
Mar-May 1976,41454000,26193000,24788000,1405000,15261000,63.2,59.8,5.4,36.8,33849000,25764000,24373000,1391000,8085000,76.1,72,5.4,23.9
Apr-Jun 1976,41473000,26192000,24779000,1413000,15281000,63.2,59.7,5.4,36.8,33860000,25762000,24364000,1399000,8097000,76.1,72,5.4,23.9
May-Jul 1976,41492000,26195000,24776000,1419000,15298000,63.1,59.7,5.4,36.9,33871000,25764000,24359000,1405000,8107000,76.1,71.9,5.5,23.9
Jun-Aug 1976,41512000,26196000,24772000,1425000,15315000,63.1,59.7,5.4,36.9,33880000,25769000,24359000,1410000,8110000,76.1,71.9,5.5,23.9
Jul-Sep 1976,41535000,26198000,24768000,1430000,15336000,63.1,59.6,5.5,36.9,33894000,25771000,24355000,1416000,8123000,76,71.9,5.5,24
Aug-Oct 1976,41558000,26203000,24771000,1432000,15355000,63.1,59.6,5.5,36.9,33907000,25774000,24357000,1418000,8133000,76,71.8,5.5,24
Sep-Nov 1976,41581000,26210000,24779000,1431000,15371000,63,59.6,5.5,37,33921000,25776000,24359000,1417000,8145000,76,71.8,5.5,24
Oct-Dec 1976,41604000,26220000,24788000,1432000,15384000,63,59.6,5.5,37,33935000,25784000,24367000,1417000,8151000,76,71.8,5.5,24
Nov-Jan 1977,41627000,26232000,24797000,1435000,15395000,63,59.6,5.5,37,33949000,25795000,24374000,1421000,8154000,76,71.8,5.5,24
Dec-Feb 1977,41650000,26236000,24800000,1436000,15414000,63,59.5,5.5,37,33963000,25803000,24382000,1422000,8159000,76,71.8,5.5,24
Jan-Mar 1977,41674000,26239000,24803000,1436000,15434000,63,59.5,5.5,37,33976000,25799000,24378000,1421000,8177000,75.9,71.8,5.5,24.1
Feb-Apr 1977,41697000,26238000,24801000,1437000,15459000,62.9,59.5,5.5,37.1,33990000,25798000,24375000,1423000,8192000,75.9,71.7,5.5,24.1
Mar-May 1977,41720000,26240000,24799000,1441000,15480000,62.9,59.4,5.5,37.1,34004000,25803000,24377000,1426000,8201000,75.9,71.7,5.5,24.1
Apr-Jun 1977,41743000,26254000,24802000,1452000,15489000,62.9,59.4,5.5,37.1,34018000,25811000,24374000,1438000,8206000,75.9,71.6,5.6,24.1
May-Jul 1977,41766000,26267000,24800000,1467000,15499000,62.9,59.4,5.6,37.1,34032000,25823000,24371000,1452000,8208000,75.9,71.6,5.6,24.1
Jun-Aug 1977,41789000,26285000,24804000,1481000,15504000,62.9,59.4,5.6,37.1,34042000,25840000,24373000,1466000,8203000,75.9,71.6,5.7,24.1
Jul-Sep 1977,41813000,26302000,24809000,1493000,15511000,62.9,59.3,5.7,37.1,34057000,25859000,24381000,1478000,8197000,75.9,71.6,5.7,24.1
Aug-Oct 1977,41837000,26312000,24813000,1498000,15526000,62.9,59.3,5.7,37.1,34071000,25862000,24379000,1483000,8209000,75.9,71.6,5.7,24.1
Sep-Nov 1977,41862000,26319000,24818000,1502000,15542000,62.9,59.3,5.7,37.1,34085000,25868000,24381000,1487000,8217000,75.9,71.5,5.7,24.1
Oct-Dec 1977,41886000,26321000,24822000,1499000,15565000,62.8,59.3,5.7,37.2,34099000,25868000,24384000,1484000,8231000,75.9,71.5,5.7,24.1
Nov-Jan 1978,41910000,26326000,24833000,1493000,15584000,62.8,59.3,5.7,37.2,34113000,25871000,24393000,1478000,8242000,75.8,71.5,5.7,24.2
Dec-Feb 1978,41934000,26328000,24844000,1484000,15606000,62.8,59.2,5.6,37.2,34127000,25876000,24408000,1469000,8251000,75.8,71.5,5.7,24.2
Jan-Mar 1978,41958000,26336000,24862000,1474000,15622000,62.8,59.3,5.6,37.2,34141000,25877000,24418000,1459000,8264000,75.8,71.5,5.6,24.2
Feb-Apr 1978,41982000,26343000,24874000,1469000,15639000,62.7,59.3,5.6,37.3,34155000,25882000,24429000,1454000,8273000,75.8,71.5,5.6,24.2
Mar-May 1978,42006000,26352000,24886000,1466000,15654000,62.7,59.2,5.6,37.3,34170000,25890000,24439000,1451000,8280000,75.8,71.5,5.6,24.2
Apr-Jun 1978,42030000,26360000,24897000,1463000,15670000,62.7,59.2,5.6,37.3,34184000,25892000,24444000,1448000,8292000,75.7,71.5,5.6,24.3
May-Jul 1978,42054000,26367000,24908000,1459000,15687000,62.7,59.2,5.5,37.3,34198000,25896000,24453000,1443000,8302000,75.7,71.5,5.6,24.3
Jun-Aug 1978,42079000,26378000,24919000,1459000,15701000,62.7,59.2,5.5,37.3,34213000,25910000,24467000,1443000,8302000,75.7,71.5,5.6,24.3
Jul-Sep 1978,42105000,26396000,24941000,1455000,15709000,62.7,59.2,5.5,37.3,34230000,25927000,24488000,1439000,8303000,75.7,71.5,5.6,24.3
Aug-Oct 1978,42132000,26425000,24975000,1449000,15708000,62.7,59.3,5.5,37.3,34248000,25949000,24516000,1433000,8298000,75.8,71.6,5.5,24.2
Sep-Nov 1978,42159000,26452000,25017000,1435000,15708000,62.7,59.3,5.4,37.3,34266000,25970000,24551000,1419000,8296000,75.8,71.6,5.5,24.2
Oct-Dec 1978,42186000,26480000,25059000,1421000,15706000,62.8,59.4,5.4,37.2,34283000,25991000,24586000,1405000,8292000,75.8,71.7,5.4,24.2
Nov-Jan 1979,42213000,26501000,25087000,1413000,15713000,62.8,59.4,5.3,37.2,34301000,26014000,24618000,1396000,8286000,75.8,71.8,5.4,24.2
Dec-Feb 1979,42240000,26523000,25106000,1417000,15718000,62.8,59.4,5.3,37.2,34319000,26030000,24631000,1399000,8288000,75.8,71.8,5.4,24.2
Jan-Mar 1979,42267000,26533000,25113000,1420000,15734000,62.8,59.4,5.4,37.2,34336000,26039000,24637000,1403000,8297000,75.8,71.8,5.4,24.2
Feb-Apr 1979,42294000,26535000,25121000,1414000,15759000,62.7,59.4,5.3,37.3,34354000,26036000,24638000,1397000,8318000,75.8,71.7,5.4,24.2
Mar-May 1979,42321000,26541000,25136000,1405000,15780000,62.7,59.4,5.3,37.3,34372000,26043000,24655000,1388000,8329000,75.8,71.7,5.3,24.2
Apr-Jun 1979,42348000,26565000,25159000,1405000,15783000,62.7,59.4,5.3,37.3,34389000,26062000,24674000,1388000,8327000,75.8,71.7,5.3,24.2
May-Jul 1979,42375000,26602000,25186000,1415000,15773000,62.8,59.4,5.3,37.2,34407000,26092000,24694000,1398000,8315000,75.8,71.8,5.4,24.2
Jun-Aug 1979,42402000,26633000,25211000,1422000,15769000,62.8,59.5,5.3,37.2,34435000,26118000,24713000,1405000,8318000,75.8,71.8,5.4,24.2
Jul-Sep 1979,42432000,26659000,25229000,1430000,15773000,62.8,59.5,5.4,37.2,34456000,26139000,24726000,1412000,8317000,75.9,71.8,5.4,24.1
Aug-Oct 1979,42462000,26689000,25248000,1441000,15772000,62.9,59.5,5.4,37.1,34476000,26163000,24739000,1424000,8313000,75.9,71.8,5.4,24.1
Sep-Nov 1979,42491000,26718000,25265000,1453000,15773000,62.9,59.5,5.4,37.1,34497000,26191000,24754000,1437000,8306000,75.9,71.8,5.5,24.1
Oct-Dec 1979,42521000,26750000,25280000,1471000,15770000,62.9,59.5,5.5,37.1,34518000,26213000,24759000,1454000,8304000,75.9,71.7,5.5,24.1
Nov-Jan 1980,42551000,26769000,25280000,1490000,15781000,62.9,59.4,5.6,37.1,34538000,26230000,24756000,1474000,8308000,75.9,71.7,5.6,24.1
Dec-Feb 1980,42580000,26791000,25270000,1521000,15789000,62.9,59.3,5.7,37.1,34559000,26250000,24744000,1506000,8308000,76,71.6,5.7,24
Jan-Mar 1980,42610000,26808000,25250000,1558000,15802000,62.9,59.3,5.8,37.1,34579000,26273000,24730000,1543000,8307000,76,71.5,5.9,24
Feb-Apr 1980,42639000,26837000,25235000,1603000,15802000,62.9,59.2,6,37.1,34600000,26293000,24706000,1587000,8307000,76,71.4,6,24
Mar-May 1980,42669000,26863000,25215000,1648000,15806000,63,59.1,6.1,37,34620000,26321000,24687000,1633000,8300000,76,71.3,6.2,24
Apr-Jun 1980,42699000,26890000,25190000,1700000,15809000,63,59,6.3,37,34641000,26345000,24659000,1686000,8296000,76.1,71.2,6.4,23.9
May-Jul 1980,42728000,26916000,25160000,1756000,15812000,63,58.9,6.5,37,34662000,26371000,24629000,1741000,8291000,76.1,71.1,6.6,23.9
Jun-Aug 1980,42758000,26938000,25110000,1828000,15820000,63,58.7,6.8,37,34683000,26396000,24583000,1814000,8286000,76.1,70.9,6.9,23.9
Jul-Sep 1980,42784000,26955000,25050000,1905000,15829000,63,58.5,7.1,37,34704000,26409000,24518000,1891000,8294000,76.1,70.7,7.2,23.9
Aug-Oct 1980,42810000,26974000,24985000,1989000,15836000,63,58.4,7.4,37,34725000,26424000,24449000,1975000,8301000,76.1,70.4,7.5,23.9
Sep-Nov 1980,42836000,26992000,24915000,2077000,15844000,63,58.2,7.7,37,34746000,26448000,24385000,2063000,8298000,76.1,70.2,7.8,23.9
Oct-Dec 1980,42862000,27024000,24855000,2169000,15837000,63.1,58,8,36.9,34767000,26471000,24316000,2155000,8296000,76.1,69.9,8.1,23.9
Nov-Jan 1981,42888000,27040000,24785000,2255000,15847000,63,57.8,8.3,37,34788000,26499000,24257000,2242000,8289000,76.2,69.7,8.5,23.8
Dec-Feb 1981,42914000,27050000,24720000,2330000,15863000,63,57.6,8.6,37,34809000,26510000,24193000,2317000,8299000,76.2,69.5,8.7,23.8
Jan-Mar 1981,42940000,27063000,24661000,2403000,15876000,63,57.4,8.9,37,34830000,26525000,24135000,2390000,8306000,76.2,69.3,9,23.8
Feb-Apr 1981,42965000,27082000,24606000,2476000,15883000,63,57.3,9.1,37,34851000,26538000,24076000,2462000,8313000,76.1,69.1,9.3,23.9
Mar-May 1981,42991000,27093000,24549000,2544000,15898000,63,57.1,9.4,37,34873000,26553000,24022000,2530000,8320000,76.1,68.9,9.5,23.9
Apr-Jun 1981,43017000,27082000,24495000,2588000,15935000,63,56.9,9.6,37,34894000,26545000,23971000,2574000,8348000,76.1,68.7,9.7,23.9
May-Jul 1981,43043000,27068000,24444000,2624000,15975000,62.9,56.8,9.7,37.1,34915000,26531000,23920000,2611000,8384000,76,68.5,9.8,24
Jun-Aug 1981,43069000,27053000,24398000,2654000,16016000,62.8,56.6,9.8,37.2,34936000,26522000,23881000,2641000,8414000,75.9,68.4,10,24.1
Jul-Sep 1981,43084000,27039000,24355000,2684000,16045000,62.8,56.5,9.9,37.2,34953000,26513000,23842000,2671000,8439000,75.9,68.2,10.1,24.1
Aug-Oct 1981,43100000,27024000,24311000,2713000,16076000,62.7,56.4,10,37.3,34969000,26497000,23798000,2699000,8472000,75.8,68.1,10.2,24.2
Sep-Nov 1981,43115000,27001000,24261000,2740000,16114000,62.6,56.3,10.1,37.4,34986000,26484000,23758000,2726000,8501000,75.7,67.9,10.3,24.3
Oct-Dec 1981,43130000,26970000,24209000,2761000,16160000,62.5,56.1,10.2,37.5,35002000,26460000,23713000,2747000,8542000,75.6,67.7,10.4,24.4
Nov-Jan 1982,43146000,26949000,24169000,2780000,16197000,62.5,56,10.3,37.5,35019000,26438000,23672000,2766000,8581000,75.5,67.6,10.5,24.5
Dec-Feb 1982,43161000,26931000,24139000,2792000,16230000,62.4,55.9,10.4,37.6,35036000,26421000,23642000,2778000,8615000,75.4,67.5,10.5,24.6
Jan-Mar 1982,43176000,26923000,24120000,2803000,16254000,62.4,55.9,10.4,37.6,35052000,26413000,23624000,2789000,8639000,75.4,67.4,10.6,24.6
Feb-Apr 1982,43192000,26905000,24092000,2813000,16287000,62.3,55.8,10.5,37.7,35069000,26399000,23600000,2799000,8669000,75.3,67.3,10.6,24.7
Mar-May 1982,43207000,26892000,24067000,2824000,16315000,62.2,55.7,10.5,37.8,35085000,26391000,23581000,2810000,8694000,75.2,67.2,10.6,24.8
Apr-Jun 1982,43222000,26868000,24027000,2841000,16354000,62.2,55.6,10.6,37.8,35102000,26373000,23546000,2826000,8729000,75.1,67.1,10.7,24.9
May-Jul 1982,43238000,26848000,23992000,2857000,16389000,62.1,55.5,10.6,37.9,35118000,26354000,23510000,2843000,8765000,75,66.9,10.8,25
Jun-Aug 1982,43253000,26826000,23949000,2877000,16427000,62,55.4,10.7,38,35136000,26332000,23468000,2863000,8804000,74.9,66.8,10.9,25.1
Jul-Sep 1982,43274000,26797000,23901000,2897000,16476000,61.9,55.2,10.8,38.1,35162000,26313000,23430000,2883000,8849000,74.8,66.6,11,25.2
Aug-Oct 1982,43295000,26769000,23852000,2917000,16526000,61.8,55.1,10.9,38.2,35188000,26289000,23386000,2903000,8899000,74.7,66.5,11,25.3
Sep-Nov 1982,43316000,26741000,23803000,2938000,16575000,61.7,55,11,38.3,35214000,26262000,23338000,2925000,8952000,74.6,66.3,11.1,25.4
Oct-Dec 1982,43337000,26714000,23755000,2960000,16622000,61.6,54.8,11.1,38.4,35240000,26240000,23294000,2946000,9000000,74.5,66.1,11.2,25.5
Nov-Jan 1983,43357000,26688000,23712000,2976000,16670000,61.6,54.7,11.2,38.4,35266000,26219000,23256000,2963000,9047000,74.3,65.9,11.3,25.7
Dec-Feb 1983,43378000,26663000,23675000,2988000,16715000,61.5,54.6,11.2,38.5,35292000,26200000,23225000,2975000,9092000,74.2,65.8,11.4,25.8
Jan-Mar 1983,43399000,26649000,23651000,2998000,16750000,61.4,54.5,11.3,38.6,35318000,26191000,23206000,2985000,9128000,74.2,65.7,11.4,25.8
Feb-Apr 1983,43420000,26644000,23636000,3008000,16776000,61.4,54.4,11.3,38.6,35344000,26185000,23190000,2996000,9159000,74.1,65.6,11.4,25.9
Mar-May 1983,43441000,26653000,23630000,3023000,16788000,61.4,54.4,11.3,38.6,35371000,26197000,23187000,3010000,9174000,74.1,65.6,11.5,25.9
Apr-Jun 1983,43462000,26696000,23647000,3049000,16765000,61.4,54.4,11.4,38.6,35397000,26246000,23212000,3035000,9150000,74.1,65.6,11.6,25.9
May-Jul 1983,43483000,26762000,23687000,3074000,16721000,61.5,54.5,11.5,38.5,35423000,26302000,23243000,3059000,9121000,74.3,65.6,11.6,25.7
Jun-Aug 1983,43504000,26834000,23741000,3093000,16670000,61.7,54.6,11.5,38.3,35448000,26383000,23307000,3077000,9065000,74.4,65.7,11.7,25.6
Jul-Sep 1983,43527000,26918000,23809000,3109000,16608000,61.8,54.7,11.5,38.2,35474000,26467000,23376000,3091000,9007000,74.6,65.9,11.7,25.4
Aug-Oct 1983,43549000,27004000,23879000,3125000,16545000,62,54.8,11.6,38,35500000,26551000,23446000,3106000,8948000,74.8,66,11.7,25.2
Sep-Nov 1983,43572000,27094000,23947000,3146000,16478000,62.2,55,11.6,37.8,35526000,26630000,23505000,3126000,8895000,75,66.2,11.7,25
Oct-Dec 1983,43595000,27161000,23994000,3167000,16434000,62.3,55,11.7,37.7,35552000,26702000,23558000,3145000,8849000,75.1,66.3,11.8,24.9
Nov-Jan 1984,43618000,27234000,24044000,3189000,16384000,62.4,55.1,11.7,37.6,35578000,26774000,23608000,3165000,8804000,75.3,66.4,11.8,24.7
Dec-Feb 1984,43641000,27300000,24085000,3215000,16340000,62.6,55.2,11.8,37.4,35604000,26842000,23652000,3190000,8762000,75.4,66.4,11.9,24.6
Jan-Mar 1984,43664000,27368000,24125000,3243000,16296000,62.7,55.3,11.8,37.3,35630000,26909000,23693000,3216000,8721000,75.5,66.5,12,24.5
Feb-Apr 1984,43687000,27428000,24165000,3263000,16258000,62.8,55.3,11.9,37.2,35656000,26969000,23734000,3235000,8686000,75.6,66.6,12,24.4
Mar-May 1984,43709000,27485000,24208000,3278000,16224000,62.9,55.4,11.9,37.1,35682000,27025000,23777000,3248000,8656000,75.7,66.6,12,24.3
Apr-Jun 1984,43732000,27510000,24245000,3265000,16222000,62.9,55.4,11.9,37.1,35708000,27050000,23815000,3235000,8657000,75.8,66.7,12,24.2
May-Jul 1984,43755000,27530000,24275000,3256000,16225000,62.9,55.5,11.8,37.1,35734000,27074000,23849000,3225000,8659000,75.8,66.7,11.9,24.2
Jun-Aug 1984,43778000,27547000,24305000,3242000,16231000,62.9,55.5,11.8,37.1,35750000,27088000,23875000,3213000,8661000,75.8,66.8,11.9,24.2
